episode,total_reward
1,-1229.169472336769
2,-1503.7520961090922
3,-1506.013665676117
4,-1503.2977179586887
5,-1503.5395529791713
6,-1505.4375356659293
7,-1502.623180732131
8,-1504.4362430945039
9,-1505.3797131478786
10,-1504.4182671830058
11,-1504.929473362863
12,-1506.0345156565309
13,-1504.442873671651
14,-1505.0768484920263
15,-1505.1766397804022
16,-1504.1012615412474
17,-1504.86817330122
18,-1505.0716773420572
19,-1506.1379636749625
20,-1505.331020474434
21,-1505.2458614557981
22,-1503.743220962584
23,-1502.195797547698
24,-886.8399279713631
25,-714.4259865283966
26,-667.9823232293129
27,-629.7943307757378
28,-645.8311202228069
29,-622.9401588737965
30,-589.8680523633957
31,-564.6399860978127
32,-588.3870277404785
33,-576.1304425895214
34,-576.8886212706566
35,-568.0297031402588
36,-585.6385307312012
37,-584.263855278492
38,-567.001069188118
39,-602.8750310242176
40,-588.1202748417854
41,-580.8397924602032
42,-586.6784965693951
43,-592.1711601912975
44,-613.2751296162605
45,-581.8441869616508
46,-586.6042058467865
47,-585.4165355861187
48,-592.1282267272472
49,-560.9451845884323
50,-565.1358988285065
51,-614.163639485836
52,-598.3428276181221
53,-588.0587909221649
54,-580.4631501436234
55,-624.9540610611439
56,-570.8538308143616
57,-598.2828714549541
58,-597.9362692534924
59,-592.3841057419777
60,-587.856648683548
61,-597.0929281711578
62,-567.5373355150223
63,-583.4473187327385
64,-560.1925728321075
65,-588.8015483617783
66,-609.7375190556049
67,-599.3746787011623
68,-567.8887014389038
69,-573.9108629226685
70,-583.2245736122131
71,-584.750302374363
72,-564.76713347435
73,-579.6590782403946
74,-602.8686894774437
75,-556.8264370560646
76,-578.6934791505337
77,-578.3283214867115
78,-576.9525845646858
79,-585.2064205408096
80,-602.4822643101215
81,-594.6012200117111
82,-584.3319713175297
83,-557.9924989938736
84,-582.9746164679527
85,-598.0087783336639
86,-592.7765806913376
87,-587.81669652462
88,-606.7878794372082
89,-587.9496682286263
90,-570.9667202830315
91,-598.225549787283
92,-576.3238425254822
93,-578.6468384861946
94,-565.9068860411644
95,-589.664842247963
96,-589.0302263498306
97,-597.2916162312031
98,-576.5526193380356
99,-576.4178629517555
100,-577.2517718970776
101,-586.9863363802433
102,-579.6572865843773
103,-573.5206214785576
104,-599.3707734942436
105,-584.5143494307995
106,-580.5636497437954
107,-582.6879705488682
108,-573.0057991743088
109,-579.0174916386604
110,-579.426072537899
111,-589.1493278741837
112,-586.1007026433945
113,-582.8540879487991
114,-604.4149015545845
115,-572.5486188828945
116,-582.1753495633602
117,-581.8872139751911
118,-610.2668942809105
119,-580.9512187242508
120,-602.270912617445
121,-608.8163315057755
122,-588.3188487291336
123,-589.9656383693218
124,-582.5875877737999
125,-554.3764033317566
126,-569.4000486135483
127,-591.5543845593929
128,-590.386837542057
129,-579.4912403225899
130,-568.8661344051361
131,-574.2775550186634
132,-588.4216191470623
133,-589.4190272390842
134,-589.9756594896317
135,-584.507722735405
136,-574.650024741888
137,-578.8459781110287
138,-603.086471259594
139,-570.79129332304
140,-593.8484911620617
141,-573.7275063693523
142,-573.1143025755882
143,-590.3685515224934
144,-575.5339719951153
145,-604.3942690491676
146,-582.531306385994
147,-563.7658959627151
148,-605.3863973021507
149,-583.8808635175228
150,-577.8701496422291
151,-569.4570899605751
152,-594.1783055961132
153,-567.3398348093033
154,-561.3195956349373
155,-579.8181815445423
156,-583.068822324276
157,-584.3647712469101
158,-586.5487644672394
159,-583.7039693892002
160,-567.4605914950371
161,-571.3654084801674
162,-591.64677131176
163,-594.9943696558475
164,-575.9929730594158
165,-580.583291977644
166,-587.7754336595535
167,-583.7469029426575
168,-586.6163944602013
169,-597.2951811254025
170,-568.2539012432098
171,-581.2847207784653
172,-594.6376922428608
173,-591.5938484668732
174,-586.7365176081657
175,-595.981277346611
176,-585.5126792788506
177,-601.4157636761665
178,-601.8001058101654
179,-567.5673829913139
180,-591.635259270668
181,-598.797714561224
182,-571.4403239488602
183,-575.6123769879341
184,-570.2626183629036
185,-569.6538547873497
186,-576.1960479021072
187,-581.6804994940758
188,-571.5818131268024
189,-586.3846233487129
190,-580.9649884104729
191,-595.2175178825855
192,-585.0486935973167
193,-589.3818590044975
194,-604.1809505522251
195,-571.1913456916809
196,-587.003196656704
197,-594.3213967680931
198,-569.7636063694954
199,-590.4751924574375
200,-574.6808429062366
201,-578.7401839494705
202,-565.1564770042896
203,-582.1689993143082
204,-575.2442795038223
205,-600.3492841124535
206,-592.7864080369473
207,-586.5249326825142
208,-576.2733587026596
209,-599.8898885846138
210,-597.2078472971916
211,-576.000378459692
212,-562.7467576265335
213,-584.5279282927513
214,-568.1638622879982
215,-587.5921039879322
216,-567.9623920917511
217,-566.6852784156799
218,-584.8384245932102
219,-561.1077371835709
220,-610.3399273455143
221,-561.9384378790855
222,-582.9945205152035
223,-583.7087660133839
224,-588.9926823973656
225,-572.9852452874184
226,-586.1337079107761
227,-607.8019058406353
228,-577.0452207326889
229,-580.790022701025
230,-583.1205297708511
231,-567.232806801796
232,-592.0806278288364
233,-602.4930472970009
234,-577.1040193140507
235,-588.9116036295891
236,-577.9244663715363
237,-602.0811699330807
238,-583.1822423934937
239,-572.7955604791641
240,-584.0458291471004
241,-573.4562060832977
242,-575.9072831869125
243,-580.791164457798
244,-573.2115488648415
245,-580.277366578579
246,-612.4496090710163
247,-579.1729486882687
248,-570.0694181323051
249,-589.7108367681503
250,-590.2293504476547
251,-572.6082276105881
252,-574.6701219081879
253,-594.3764798939228
254,-574.8924517035484
255,-595.8890943527222
256,-550.1762362122536
257,-594.8912675082684
258,-606.1568296253681
259,-582.7498110532761
260,-591.3162224888802
261,-572.4170499444008
262,-601.4315041303635
263,-583.9516919851303
264,-566.7646111249924
265,-569.9068765640259
266,-587.7581760883331
267,-580.7658067047596
268,-579.7191113233566
269,-584.2758082747459
270,-583.9992557764053
271,-582.1066751480103
272,-577.9286861121655
273,-576.803948789835
274,-581.0921461880207
275,-592.151854544878
276,-572.4216171503067
277,-572.2779384851456
278,-588.2575823664665
279,-573.4962816238403
280,-600.2545529901981
281,-580.9353704154491
282,-603.1599547564983
283,-578.7420448064804
284,-577.0315816998482
285,-578.1917373538017
286,-584.8082314133644
287,-581.218730956316
288,-557.6005411744118
289,-577.2284592986107
290,-593.7661459445953
291,-598.2736039459705
292,-576.4812680184841
293,-590.265382617712
294,-600.5187804400921
295,-568.462964117527
296,-585.4760688245296
297,-593.9765113890171
298,-573.0753073394299
299,-570.507463991642
300,-595.575740814209
301,-592.9077373147011
302,-594.8267955183983
303,-564.4629555642605
304,-565.8456068634987
305,-598.7674669921398
306,-612.2814738750458
307,-582.7579708695412
308,-573.9687343537807
309,-594.0149537622929
310,-563.1822244524956
311,-623.9211780428886
312,-566.4534183144569
313,-580.7440335452557
314,-574.9669111669064
315,-589.104025810957
316,-594.0858860611916
317,-573.9389241635799
318,-582.3406988978386
319,-595.3164151906967
320,-586.9829428792
321,-564.9772198796272
322,-575.1947338581085
323,-585.5846210122108
324,-574.5163573920727
325,-582.807243347168
326,-578.1485176682472
327,-584.6676321327686
328,-560.3730717301369
329,-575.2918455600739
330,-588.3252564966679
331,-570.4815979003906
332,-559.682844221592
333,-568.0787326097488
334,-567.1682904362679
335,-582.4236589074135
336,-579.9437438845634
337,-551.0357566475868
338,-619.4994888305664
339,-562.399586379528
340,-608.0481390058994
341,-588.0801772475243
342,-583.378899782896
343,-565.3466272354126
344,-591.8176582157612
345,-576.8430283665657
346,-593.2182796895504
347,-605.9384941756725
348,-593.1386314928532
349,-587.6231791377068
350,-590.0063561797142
351,-621.3613785803318
352,-575.1603344678879
353,-578.1349617242813
354,-570.2060624361038
355,-586.491213530302
356,-585.2928043007851
357,-576.0269468426704
358,-578.6891166567802
